,date,open,high,low,close,volume,SMA_5,SMA_7,SMA_10,SMA_13,SMA_20,SMA_21,SMA_24,SMA_48,SMA_60,kline,dline,jline,DIF,MACD,BAR
79,107/1/1,223.25,231.45,222.76,231.45,98693.0,,,,,,,,,,,,,,,
78,107/1/8,233.37,233.85,224.22,228.56,114651.0,,,,,,,,,,,,,,,
77,107/1/15,231.46,246.43,229.54,246.43,187176.0,,,,,,,,,,,,,,,
76,107/1/22,248.36,256.56,244.5,245.95,202343.0,,,,,,,,,,,,,,,
75,107/1/29,249.8,252.21,243.05,250.27,167032.0,240.532,,,,,,,,,,,,,,
74,107/2/5,242.09,245.46,220.39,224.25,324339.0,239.092,,,,,,,,,,,,,,
73,107/2/12,227.14,229.07,226.66,228.11,35558.0,239.00200000000004,236.43142857142857,,,,,,,,,,,,,
72,107/2/19,235.83,236.31,230.51,236.31,137494.0,236.978,237.12571428571428,,,,,,,,,,,,,
71,107/2/26,238.23,241.62,230.05,231.5,151366.0,234.08800000000002,237.54571428571427,,,,,,,,,,,,,
70,107/3/5,233.92,242.61,232.0,241.64,132842.0,232.362,236.86142857142855,236.44699999999997,,,,,,,,,,,,
69,107/3/12,243.09,249.85,240.69,246.0,164029.0,236.712,236.86857142857139,237.902,,,,,,,,,,,,
68,107/3/19,243.59,246.48,235.4,236.36,151441.0,238.362,234.88142857142853,238.68200000000002,,,,,,,,,,,,
67,107/3/26,232.99,242.16,232.99,238.78,154106.0,238.856,236.9571428571428,237.91700000000006,237.35461538461539,,,,,,57.58366238624197,56.30326914733241,60.14444886406109,,,
66,107/4/2,239.75,240.23,233.5,235.42,53427.0,239.64000000000001,238.00142857142853,236.8640000000001,237.66000000000003,,,,,,50.98826098443586,55.49147361211641,41.98183572907476,,,
65,107/4/9,239.28,240.24,234.93,235.91,121456.0,238.494,237.9442857142857,235.42800000000005,238.22538461538463,,,,,,49.56668433298131,52.71286923455305,43.27431452983784,,,
64,107/4/16,234.46,235.9,219.97,220.94,263585.0,233.48200000000003,236.43571428571428,235.09700000000007,236.2646153846154,,,,,,31.384177084909478,43.97970746744222,6.193116319843995,,,
63,107/4/23,218.53,219.49,213.23,215.65,240333.0,229.34,232.72285714285712,233.85100000000006,233.93384615384622,,,,,,16.580870673453774,32.51057736378152,-15.278542707201723,,,
62,107/4/30,216.62,220.0,212.28,215.17,125303.0,224.61800000000002,228.31857142857143,231.73700000000008,231.23384615384623,,,,,,5.849012334868384,17.93802003107721,-18.329003057549272,,,
61,107/5/7,217.08,225.77,213.71,224.81,155378.0,222.49600000000004,226.6685714285714,231.06800000000007,231.27692307692314,,,,,,15.883932128198987,12.771271712173716,22.10925296024953,,,
60,107/5/14,226.25,226.25,215.65,215.65,112188.0,218.44400000000005,223.3642857142857,228.4690000000001,230.3184615384616,232.458,,,,,16.965728949884845,12.899557804317405,25.09807124101972,,,
59,107/5/21,217.1,225.3,217.1,220.47,90377.0,218.35000000000005,221.22857142857143,225.91600000000008,229.10000000000005,231.90900000000002,231.88714285714286,,,,23.53817257052125,18.795944549535026,33.0226286124937,,,
58,107/5/28,221.42,221.9,212.74,216.12,212677.0,218.44400000000005,218.40142857142857,223.89200000000005,227.91692307692313,231.28699999999998,231.15714285714287,,,,16.9991151010689,19.167672207158333,12.662000888890034,,,
57,107/6/4,219.49,223.36,218.07,219.03,125483.0,219.21600000000007,218.1285714285714,221.91700000000006,226.17769230769238,229.91699999999997,230.70333333333332,,,,21.761725011634528,20.76633756107489,23.752499912753805,,,
56,107/6/11,218.55,223.86,216.14,222.9,161149.0,218.83400000000012,219.16428571428568,220.66500000000005,224.4007692307693,228.76449999999994,229.58285714285708,230.31999999999996,,,27.61247772613351,22.124439279612307,38.588554619175916,,,
55,107/6/18,217.59,219.99,215.65,219.5,171871.0,219.6040000000001,219.78285714285713,219.02400000000006,223.1038461538462,227.22599999999994,228.3233333333333,229.82208333333332,,,40.261901230208764,29.87870132265893,61.02830104530843,,,
54,107/6/25,220.0,220.5,210.0,216.5,195175.0,218.8100000000001,218.59571428571425,218.58000000000007,221.39000000000004,226.83849999999993,226.71523809523802,229.3195833333333,,,45.548024263112914,37.8074677398184,61.02913730970194,,,
53,107/7/2,218.5,219.0,213.0,217.0,123018.0,218.98600000000005,218.7885714285714,218.71500000000006,219.97307692307697,226.28299999999996,226.36999999999995,228.09333333333328,,,44.91969972284934,43.57654173872368,47.60601569110065,,,
52,107/7/9,219.5,224.5,218.0,224.5,131831.0,220.08000000000007,219.36428571428567,219.64800000000005,219.09538461538466,225.69249999999994,226.1980952380952,227.1995833333333,,,57.43589743589744,49.3012071406199,73.70527802645252,,,
51,107/7/16,224.5,237.5,221.0,237.5,214601.0,223.00000000000009,222.4185714285714,220.91700000000006,220.36923076923082,225.99249999999992,226.25476190476184,226.66749999999993,,,77.43589743589745,59.93049819821474,112.44669591126284,,,
50,107/7/23,239.0,245.0,238.5,244.5,157915.0,228.00000000000009,226.05714285714285,223.80200000000005,222.5884615384616,226.13549999999992,226.87380952380946,227.51124999999993,,,95.93406593406594,76.93528693528695,133.93162393162393,,,
49,107/7/30,244.5,249.5,242.0,247.0,125705.0,234.10000000000008,229.49999999999997,226.455,225.0369230769231,226.1854999999999,227.12904761904753,228.2983333333333,,,97.41410488245931,90.26135608414091,111.71960247909612,,,
48,107/8/6,245.0,248.0,241.5,245.0,101486.0,239.7000000000001,233.1428571428571,229.34300000000002,226.59000000000003,226.61749999999992,227.0814285714285,228.6604166666666,,,93.61663652802893,95.65493578151808,89.54003802105063,,,
47,107/8/13,241.5,245.0,238.0,239.5,90980.0,242.7000000000001,236.4285714285714,231.39000000000001,228.4246153846154,226.65349999999995,227.23095238095232,228.99374999999995,,,85.65400843881855,92.22824994976895,72.50552541691775,,,
46,107/8/20,239.5,246.0,238.0,243.5,70635.0,243.9000000000001,240.2142857142857,233.45,230.1961538461539,227.05749999999995,227.45571428571424,229.07124999999994,,,82.70042194092825,87.32368896925861,73.45388788426752,1.0792415480927957,-3.9701073789745056,5.049348927067301
45,107/8/27,246.0,268.0,244.5,256.0,226408.0,246.2000000000001,244.7142857142857,237.1,233.2638461538462,228.06199999999995,228.43571428571423,229.4879166666666,,,79.22516302263136,82.52653113412607,72.62242679964194,2.6990095232212354,-2.636283998535357,5.335293521756593
44,107/9/3,259.0,268.0,255.5,264.0,179809.0,249.60000000000008,248.49999999999997,241.85,236.72307692307697,230.21499999999997,229.77333333333328,230.63958333333326,,,84.99731492136554,82.30763329497508,90.37667817414646,4.575477201476019,-1.1939317585330818,5.769408960009101
43,107/9/10,266.5,266.5,253.5,261.0,189065.0,252.8000000000001,250.85714285714283,246.25,239.6538461538462,232.4825,231.68095238095233,231.5654166666666,,,85.09606705351383,83.10618166583693,89.07583782886766,5.754185756217254,0.19569174441698545,5.558494011800269
42,107/9/17,262.5,262.5,254.0,261.5,182330.0,257.2000000000001,252.9285714285714,249.95,242.88461538461542,234.79899999999998,233.8642857142857,232.65208333333328,,,85.14657210401889,85.07998469296611,85.27974692612443,6.651986638066148,1.4869507231468182,5.16503591491933
41,107/9/24,261.5,266.0,260.0,262.5,127001.0,261.0000000000001,255.4285714285714,252.45,246.42307692307696,236.68349999999995,236.1180952380952,233.75999999999996,,,81.70212765957444,83.98158893903575,77.14320510065184,7.359357851616551,2.661432148840765,4.697925702775786
40,107/10/1,262.0,264.0,248.5,250.0,162068.0,259.80000000000007,256.9285714285714,253.0,248.9615384615385,238.40099999999998,237.31761904761902,234.9708333333333,,,66.66666666666664,77.83845547675334,44.323089046493266,6.83254774426581,3.495655267925774,3.3368924763400356
39,107/10/8,245.5,246.5,227.0,237.0,220735.0,254.4000000000001,255.99999999999997,252.0,249.92307692307696,239.22749999999996,238.3342857142857,235.86041666666665,,,48.685636856368546,65.68481039420323,14.687289780699189,5.304903953671726,3.8575050050749646,1.4473989485967613
38,107/10/15,234.0,243.0,229.0,236.0,176265.0,249.4000000000001,253.1428571428571,251.1,249.80769230769235,240.22149999999996,239.0738095238095,236.72833333333332,,,28.78048780487803,48.04426377597108,-9.747064137308072,3.967805212281263,3.879565046516224,0.0882401657650389
37,107/10/22,232.5,238.0,217.0,221.0,219794.0,241.3000000000001,246.99999999999997,249.25,248.00000000000003,240.32,239.30619047619044,236.5695833333333,,,18.061533556512018,31.842552739252877,-9.500504808969701,1.67842237828836,3.4393365128706512,-1.7609141345822912
