,date,open,high,low,close,volume,ratio
0,108/06/13,242.50,244.00,240.00,240.00,32924,0.9756
1,108/06/12,244.50,247.50,243.00,246.00,29582,1.0061
2,108/06/11,240.00,246.00,239.00,244.50,31890,1.0188
3,108/06/10,237.50,240.00,234.50,240.00,35268,1.0345
4,108/06/06,231.50,232.00,229.50,232.00,34586,0.9872
5,108/06/05,238.00,238.00,234.00,235.00,29084,1.0086
6,108/06/04,237.50,238.00,233.00,233.00,24358,0.979
7,108/06/03,235.50,238.50,232.00,238.00,30998,1.0106
8,108/05/31,232.00,237.50,231.00,235.50,45975,1.0195
9,108/05/30,230.00,231.50,229.00,231.00,28427,1.0065
10,108/05/29,228.00,230.50,227.00,229.50,26445,0.9957
11,108/05/28,232.00,232.00,230.50,230.50,95094,0.9978
12,108/05/27,234.00,235.00,231.00,231.00,35481,0.9914
13,108/05/24,230.00,234.00,230.00,233.00,35895,1.013
14,108/05/23,233.50,233.50,230.00,230.00,58381,0.9664
15,108/05/22,236.50,240.50,235.50,238.00,34569,1.0171
16,108/05/21,233.50,236.00,232.50,234.00,79956,0.9832
17,108/05/20,242.50,243.00,238.00,238.00,39037,0.9855
18,108/05/17,249.00,249.00,241.50,241.50,38499,0.9777
19,108/05/16,248.50,249.50,246.00,247.00,29650,0.992
20,108/05/15,251.00,252.00,249.00,249.00,36798,1.002
21,108/05/14,247.50,251.00,245.00,248.50,45019,0.992
22,108/05/13,253.00,254.00,249.50,250.50,28219,0.9785
23,108/05/10,257.00,259.00,255.00,256.00,18589,0.9981
24,108/05/09,259.50,259.50,256.00,256.50,33520,0.9865
25,108/05/08,260.00,261.50,259.50,260.00,25514,0.9905
26,108/05/07,259.50,263.00,259.00,262.50,25639,1.0135
27,108/05/06,260.00,260.00,258.00,259.00,32783,0.9774
28,108/05/03,262.00,265.00,260.50,265.00,29739,1.0232
29,108/05/02,261.50,262.50,258.50,259.00,27058,1.0
30,108/04/30,260.00,260.50,258.00,259.00,33749,0.9981
31,108/04/29,260.00,262.00,258.50,259.50,31073,0.9981
32,108/04/26,262.00,263.00,257.50,260.00,47449,0.972
33,108/04/25,268.50,269.00,267.00,267.50,32344,0.9944
