,date,open,high,low,close,volume,SMA_5,SMA_7,SMA_10,SMA_13,SMA_20,SMA_21,SMA_24,SMA_48,SMA_60,kline,dline,jline,DIF,MACD,BAR
646,107/01/02,209.48,210.38,209.02,210.38,18008,,,,,,,,,,,,,,,
645,107/01/03,213.56,215.36,213.09,214.46,29254,,,,,,,,,,,,,,,
644,107/01/04,217.17,217.17,214.0,216.71,29033,,,,,,,,,,,,,,,
643,107/01/05,217.17,217.17,215.35,217.17,22398,,,,,,,,,,,,,,,
642,107/01/08,218.97,219.42,217.61,218.97,20190,215.538,,,,,,,,,,,,,,
641,107/01/09,218.97,218.97,216.7,218.97,19000,217.256,,,,,,,,,,,,,,
640,107/01/10,218.52,218.97,213.54,214.0,23584,217.164,215.80857142857144,,,,,,,,,,,,,
639,107/01/11,212.65,213.55,210.38,212.65,30402,216.352,216.13285714285718,,,,,,,,,,,,,
638,107/01/12,212.2,215.36,211.29,214.46,21475,215.81,216.13285714285718,,,,,,,,,,,,,
637,107/01/15,217.18,217.18,215.38,217.18,27440,215.452,216.20000000000005,215.49500000000003,,,,,,,,,,,,
636,107/01/16,217.18,217.64,215.38,217.64,21626,215.18599999999998,216.26714285714291,216.221,,,,,,,,,,,,
635,107/01/17,217.64,219.9,216.28,218.99,37994,216.18399999999997,216.27000000000004,216.67399999999998,,,,,,,,,,,,
634,107/01/18,221.72,226.24,221.72,224.88,49771,218.62999999999997,217.11428571428573,217.49099999999999,216.65076923076924,,,,,,87.3919598193371,79.55407723766079,103.06772498268973,,,
633,107/01/19,229.4,231.22,227.59,231.22,50345,221.98199999999997,219.57428571428574,218.89599999999996,218.25384615384613,,,,,,93.95538164824568,87.77935270274047,106.30743953925608,,,
632,107/01/22,233.03,237.11,232.58,236.65,43214,225.87599999999998,223.00285714285718,220.66399999999993,219.96076923076922,,,,,,96.5680185473749,92.63845333831922,104.42714896548628,,,
631,107/01/23,237.55,240.72,237.55,240.72,33356,230.49199999999996,226.75428571428574,222.83899999999994,221.80769230769226,,,,,,99.42636238932533,96.64992086164864,104.97924544467872,,,
630,107/01/24,237.99,237.99,232.11,233.47,41704,233.38799999999998,229.0814285714286,224.78599999999992,223.06153846153842,,,,,,91.2147868994624,95.73638927872088,82.17158214094542,,,
629,107/01/25,233.47,238.9,232.11,233.47,44566,235.10599999999994,231.34285714285718,226.86799999999988,224.17692307692303,,,,,,82.25146055328361,90.96420328069046,64.82597509846991,,,
628,107/01/26,232.12,233.02,229.4,230.76,39503,235.01399999999995,233.02428571428575,228.49799999999988,225.08384615384608,,,,,,69.14964524152354,80.87196423142319,45.705007261724234,,,
627,107/01/29,234.37,236.64,230.75,233.92,29989,234.46799999999993,234.31571428571436,230.17199999999988,226.6161538461538,222.83349999999996,,,,,68.0868072016538,73.162637665487,57.935146273987385,,,
626,107/01/30,231.67,233.01,228.5,228.94,36822,232.11199999999994,233.99000000000007,231.3019999999999,227.8692307692307,223.76149999999993,223.12428571428566,,,,56.957104491840575,64.73118564500598,41.40894218550977,,,
625,107/01/31,228.94,233.01,228.03,230.75,44092,231.56799999999993,233.1471428571429,232.4779999999999,229.12230769230763,224.57599999999994,224.09428571428566,,,,44.747927165875325,56.5972796197899,21.04922225804617,,,
624,107/02/01,233.0,236.17,232.55,234.81,30452,231.83599999999993,232.3028571428572,233.47099999999986,230.4784615384615,225.48099999999994,225.06333333333328,,,,38.49830602263718,46.73444589345103,22.02602628100948,,,
623,107/02/02,234.35,235.27,230.74,234.81,25677,232.6459999999999,232.49428571428575,233.82999999999987,231.79923076923072,226.36299999999997,225.92523809523806,224.41583333333332,,,43.64093801633302,42.29572373494852,46.33136657910201,,,
622,107/02/05,227.14,230.3,226.68,228.94,45518,231.64999999999992,231.8471428571429,233.05899999999988,232.56461538461537,226.86149999999992,226.48571428571424,225.18916666666664,,,41.78335454931199,41.30753286276073,42.73499792241451,,,
621,107/02/06,219.45,220.35,211.76,216.28,102278,229.11799999999988,229.77857142857147,230.61499999999992,231.9030769230769,226.72699999999992,226.35761904761898,225.26499999999996,,,29.52551744630642,38.31660333731715,11.943345664284962,,,
620,107/02/07,221.7,222.16,216.72,217.19,79976,226.4059999999999,227.38857142857145,228.98699999999994,230.82384615384615,226.8864999999999,226.27285714285705,225.28499999999994,,,18.99113840009184,30.100003465236757,-3.2265917301979883,,,
619,107/02/08,216.74,219.0,215.38,215.84,30924,222.6119999999999,225.5171428571429,227.224,229.22307692307692,227.0459999999999,226.36047619047608,225.22958333333327,,,18.292619113627055,22.269758320008446,10.338340700864272,,,
618,107/02/09,208.14,210.86,206.78,210.4,65643,217.72999999999993,222.61000000000004,225.18799999999996,226.89076923076925,226.8429999999999,226.25333333333325,224.87249999999992,,,16.846862444554134,18.043539986091016,14.45350736148037,,,
617,107/02/12,213.11,214.93,212.67,214.02,35558,214.74599999999992,219.64000000000004,223.19799999999995,225.39461538461543,226.6849999999999,226.23238095238088,224.6662499999999,,,17.78335260697422,17.640944721718473,18.068168377485712,,,
616,107/02/21,221.26,221.26,219.01,219.46,71432,215.38199999999992,217.4471428571429,222.24999999999994,224.31692307692313,226.7759999999999,226.34095238095227,224.89374999999993,,,26.698423500056748,20.44287951719504,39.20951146578017,,,
615,107/02/22,220.81,220.81,216.27,216.74,39203,215.29199999999992,215.70428571428576,220.849,223.23846153846156,226.66349999999989,226.29809523809513,225.06416666666658,,,34.2459302649844,26.242568790671793,50.25265321360963,,,
614,107/02/23,218.09,221.72,218.09,221.72,26859,216.4679999999999,216.4814285714286,219.53999999999996,222.3,226.5054999999999,226.42809523809515,225.3666666666666,,,47.20798987617149,36.050781213737544,69.52240720103937,,,
613,107/02/26,223.51,223.97,221.71,223.07,35863,219.0019999999999,217.3214285714286,218.36599999999999,221.84846153846155,226.09799999999987,226.34190476190466,225.61208333333323,,,64.41481367621981,48.622911272458566,95.99861848374229,0.6561854742765831,2.826343304797449,-2.170157830520866
612,107/02/27,226.7,226.7,222.62,222.62,40761,220.72199999999992,218.29000000000002,217.73399999999998,221.22307692307692,225.3964999999999,225.9323809523808,225.8195833333332,,,79.26762611939371,63.630143223928336,110.54259191032448,0.6611646732179679,2.393307578481553,-1.732142905263585
611,107/03/01,220.82,221.72,219.0,219.9,39676,220.80999999999995,219.64714285714288,218.09599999999995,220.07615384615386,224.35549999999984,225.13476190476177,225.85749999999987,,,80.04864133672567,74.57702704411305,90.9918699219509,0.4405510578789631,2.002756274361035,-1.562205216482072
610,107/03/02,217.2,218.11,215.84,217.2,35066,220.90199999999996,220.1014285714286,218.09699999999992,218.72153846153847,223.54199999999983,224.01476190476174,225.53749999999988,,,65.89692101740299,75.07106282450745,47.54863740319408,0.047300492495082835,1.6116651179878445,-1.5643646254927617
609,107/03/05,219.46,219.92,217.66,218.57,27302,220.27199999999993,219.97428571428574,218.36999999999995,217.92384615384617,222.7969999999998,223.3052380952379,225.01041666666652,,,53.408478294265244,66.45134688279796,27.322741117199797,-0.15205308998511669,1.2589214763932524,-1.410974566378369
608,107/03/06,222.18,226.26,222.18,226.26,34794,220.90999999999994,221.33428571428573,219.95599999999996,218.69153846153844,222.5719999999998,222.96190476190458,224.57749999999987,,,63.4368052300008,60.91406818055634,68.48227932888972,0.3069382979860791,1.0685248407118177,-0.7615865427257387
607,107/03/07,224.45,224.9,222.64,223.54,30354,221.09399999999997,221.59428571428572,220.90799999999996,219.17999999999998,222.0529999999998,222.61809523809504,223.86166666666654,,,69.63452428300842,62.15993593575815,84.58370097750894,0.4460690059636647,0.9440336737621872,-0.49796466779852244
606,107/03/08,225.8,227.61,225.33,225.8,20588,222.27399999999997,221.98428571428573,221.54199999999997,219.94615384615383,221.89599999999982,222.23142857142838,223.54208333333318,,,83.82424962174021,72.2985263782498,106.87569610872103,0.7302760392115033,0.9012821468520504,-0.17100610764054713
605,107/03/09,226.23,227.14,224.88,226.7,19804,224.17399999999998,222.56714285714287,222.53799999999995,221.19999999999996,221.6934999999998,222.12476190476173,223.25999999999985,,,82.5975978090399,78.6854572379295,90.42187895126071,1.0164180049844447,0.9243093184785293,0.09210868650591542
604,107/03/12,228.06,230.78,227.61,229.87,24431,226.43400000000003,223.99142857142857,223.35299999999998,222.41923076923072,221.4464999999998,222.08285714285697,223.2229166666665,,,90.26645617682658,85.56276786920222,99.6738327920753,1.4818976875132819,1.0358269922854797,0.4460706952278022
603,107/03/13,231.24,234.4,230.8,234.4,33673,228.06200000000004,226.44857142857146,224.48599999999996,223.5684615384615,221.42599999999976,222.0633333333331,223.24291666666647,,,95.39248279818031,89.41884559468225,107.33975720517643,2.191069544907492,1.2668755028098821,0.92419404209761
602,107/03/14,232.16,233.07,231.26,232.6,23735,229.87400000000002,228.45285714285714,225.48399999999998,224.7884615384615,221.60899999999978,221.958095238095,223.3954166666665,,,94.73689778270169,93.4652789192362,97.28013550963266,2.5781293244054666,1.5291262671289991,1.0490030572764675
601,107/03/15,233.5,233.5,230.79,230.79,19316,230.872,229.1,226.57299999999995,225.48615384615383,222.3344999999998,222.04619047619028,223.39708333333317,,,89.57887021244453,93.23608359777552,82.26444344178253,2.7076134328508203,1.7648237002733633,0.942789732577457
600,107/03/16,228.98,231.69,225.81,230.79,62874,231.69,230.1357142857143,227.93199999999996,226.07999999999996,223.01449999999983,222.73714285714266,223.22958333333315,,,79.73162525881655,88.01579775132093,63.16328027380777,2.7782051026259467,1.96749998074388,0.8107051218820667
599,107/03/19,228.52,231.24,227.16,230.79,21404,231.87400000000002,230.84857142857143,229.15399999999994,226.7084615384615,223.7619999999998,223.38476190476172,223.06208333333313,223.7389583333334,,72.73195757565134,80.68081768230415,56.834237362345704,2.8018515093998815,2.13437028647508,0.6674812229248013
598,107/03/20,228.99,229.89,227.63,228.99,21803,230.792,231.1757142857143,229.42699999999996,227.40769230769226,224.69149999999982,224.01095238095218,223.06416666666647,224.12666666666675,,60.977751711704855,71.14711151539092,40.63903210433273,2.644858221152674,2.236467873410599,0.40839034774207494
597,107/03/21,230.8,230.8,227.19,228.53,28940,229.978,230.98428571428573,229.926,228.27923076923074,225.41699999999977,224.87428571428552,223.57458333333315,224.41979166666678,,50.27177537681742,61.32716155472454,28.161003021003182,2.455021790518515,2.2801786568321822,0.17484313368633275
596,107/03/22,230.33,230.33,225.81,227.62,26952,229.34400000000005,230.0157142857143,230.10799999999995,228.97538461538457,225.82499999999976,225.52190476190455,224.0091666666665,224.64708333333348,,34.194539282534954,48.48135545701908,5.620906933566715,2.205719495400359,2.2652868245458175,-0.05956732914545837
595,107/03/23,221.75,223.56,220.85,221.75,52342,227.53600000000006,228.4657142857143,229.61299999999997,228.62846153846147,226.07549999999978,225.63095238095215,224.2554166666665,224.74250000000015,,22.017805120235334,35.49470659319591,-4.935997825685817,1.5169986716422557,2.115629193965105,-0.5986305223228494
594,107/03/26,218.59,221.31,218.59,220.4,36947,225.45800000000008,226.9814285714286,228.666,228.386923076923,226.00949999999975,225.80523809523788,224.67208333333315,224.7722916666668,,13.284194305017229,23.16551290259584,-6.478442890139995,0.852422542810217,1.8629878637341275,-1.0105653209239105
593,107/03/27,224.47,227.19,223.57,227.19,30912,225.0980000000001,226.46714285714293,227.945,228.49384615384608,226.21549999999974,226.06571428571402,225.2208333333331,224.94354166666685,,25.48699330051653,20.262997575256367,35.93498475103686,0.8636814442345724,1.6631265798342165,-0.7994451355996441
592,107/03/28,224.02,224.46,220.85,221.76,29582,223.74400000000009,225.1771428571429,226.86099999999996,228.1138461538461,226.17249999999976,226.0033333333331,225.31666666666646,225.1052083333335,,31.33912892110934,23.370105508881036,47.27717574556595,0.42949760410567706,1.4164007846885087,-0.9869031805828317
591,107/03/29,219.94,223.56,219.49,220.85,36128,222.3900000000001,224.01428571428576,225.86699999999996,227.41999999999996,226.2199999999998,225.9190476190474,225.48791666666648,225.27604166666686,,33.24783190758327,30.024651376403046,39.69419296994371,0.011837927604631204,1.1354882132717332,-1.123650285667102
590,107/03/30,224.02,225.83,222.66,222.66,16968,222.57200000000012,223.17571428571435,225.05399999999995,226.51692307692304,226.4929999999998,226.050476190476,225.52708333333314,225.4468750000002,,25.132473087999074,29.90647797223056,15.584463319536098,-0.17113575543868365,0.8741634195296498,-1.0452991749683336
589,107/03/31,224.02,225.37,223.11,224.02,3569,223.29600000000013,222.66142857142864,224.37699999999995,225.85692307692304,226.76549999999983,226.37523809523793,225.5666666666665,225.58937500000022,,31.890230151099686,30.090178382227347,35.490333688844366,-0.20405091160722577,0.6585205533022747,-0.8625714649095004
588,107/04/02,224.94,225.39,221.77,223.12,17661,222.48200000000014,222.85714285714292,223.78999999999996,225.26692307692304,226.60849999999982,226.5919047619046,225.58749999999984,225.7035416666669,,38.797036156491,31.939913131863253,52.511282205746475,-0.2993086446554116,0.4669547137107374,-0.766263358366149
587,107/04/03,219.97,221.33,219.07,220.87,35766,222.30400000000017,222.92428571428576,223.02399999999997,224.5038461538461,226.47499999999982,226.3352380952379,225.6279166666665,225.74270833333358,223.7871666666668,36.52313434770551,35.736800218432066,38.09580260625239,-0.5500170264492397,0.26356036567874197,-0.8135773921279816
586,107/04/09,224.49,224.49,220.42,221.78,34644,222.49000000000018,222.1514285714286,222.44,223.81076923076918,226.2739999999998,226.2514285714284,225.81874999999982,225.67812500000028,223.97716666666682,34.063560609061994,36.4612437044195,29.26819441834698,-0.6675803794050807,0.07733221666197743,-0.7449125960670582
585,107/04/10,221.32,225.39,220.41,222.22,25126,222.40200000000019,222.21714285714287,222.487,223.28999999999994,226.0499999999998,226.0809523809522,225.9708333333332,225.49062500000028,224.10650000000015,34.132584870355565,34.90642660904103,32.584901392984634,-0.7169809507590514,-0.08153041682222836,-0.635450533936823
584,107/04/11,223.13,224.94,223.13,224.49,21572,222.49600000000018,222.7371428571429,222.89600000000002,222.97923076923067,225.7809999999998,225.9757142857141,225.89708333333317,225.23729166666695,224.23616666666683,52.02121383232978,40.072453103915784,75.91873528915777,-0.5664317579365559,-0.17851068504509388,-0.387921072891462
583,107/04/12,224.94,224.94,220.87,221.77,20409,222.2260000000002,222.61000000000004,222.35399999999998,222.52923076923068,225.14949999999985,225.58999999999983,225.82333333333318,224.8425000000003,224.3128333333335,52.97048221451413,46.37476030573316,66.16192603207605,-0.6590051053498485,-0.2746095691060448,-0.3843955362438037
582,107/04/13,222.68,222.68,220.86,221.33,19705,222.3180000000002,222.2257142857143,222.311,222.49692307692297,224.58599999999984,224.9676190476189,225.63708333333318,224.58958333333365,224.35216666666685,51.18343195266286,52.05837599983559,49.43354385831739,-0.7591237666525785,-0.3715124086153515,-0.387611358037227
