,date,open,high,low,close,volume
0,108/7/15,251.0,261.0,249.5,259.0,156694.0
1,108/7/8,240.0,252.0,240.0,250.5,122219.0
2,108/7/1,245.5,250.0,241.5,243.0,159780.0
3,108/6/24,241.0,242.0,234.0,239.0,166976.0
4,108/6/17,224.05,240.5,223.08,240.5,227997.0
5,108/6/10,229.86,239.54,226.96,228.4,161518.0
6,108/6/3,227.92,230.82,222.11,224.53,119026.0
7,108/5/27,234.0,237.5,227.0,235.5,231422.0
8,108/5/20,242.5,243.0,230.0,233.0,247838.0
9,108/5/13,253.0,254.0,241.5,241.5,178185.0
10,108/5/6,260.0,263.0,255.0,256.0,136045.0
11,108/4/29,260.0,265.0,258.0,265.0,121619.0
12,108/4/22,266.5,270.0,257.5,260.0,156307.0
13,108/4/15,255.0,269.5,254.0,264.5,157029.0
14,108/4/8,251.0,254.5,250.5,252.0,131561.0
15,108/4/1,251.0,251.0,245.0,246.5,84270.0
16,108/3/25,240.5,245.5,240.0,245.5,103637.0
17,108/3/18,239.5,248.5,238.0,248.5,113186.0
18,108/3/11,228.0,239.5,227.5,239.0,117851.0
19,108/3/4,239.5,239.5,229.0,230.0,121794.0
20,108/2/25,237.5,240.0,236.0,239.0,83743.0
21,108/2/18,229.0,236.5,228.5,236.5,119506.0
22,108/2/11,228.0,232.0,226.0,227.0,182032.0
23,108/1/28,229.5,229.5,220.0,221.0,111757.0
24,108/1/21,220.0,227.0,219.0,226.0,147843.0
25,108/1/14,218.5,221.0,215.5,218.5,155879.0
26,108/1/7,212.0,220.5,210.0,220.5,152986.0
27,107/12/31,226.5,226.5,206.5,208.0,132702.0
28,107/12/24,221.5,225.5,215.0,225.5,109599.0
29,107/12/17,221.0,225.5,219.0,221.5,156135.0
30,107/12/10,219.5,227.5,218.5,222.5,143868.0
31,107/12/3,231.0,235.0,219.5,221.0,192976.0
32,107/11/26,219.0,231.5,218.5,225.5,181735.0
33,107/11/19,225.0,225.0,214.0,218.5,162329.0
34,107/11/12,230.0,234.5,224.5,226.0,148076.0
35,107/11/5,233.0,237.5,231.0,231.0,138209.0
36,107/10/29,223.0,237.0,220.5,236.5,177151.0
37,107/10/22,232.5,238.0,217.0,221.0,219794.0
38,107/10/15,234.0,243.0,229.0,236.0,176265.0
39,107/10/8,245.5,246.5,227.0,237.0,220735.0
40,107/10/1,262.0,264.0,248.5,250.0,162068.0
41,107/9/24,261.5,266.0,260.0,262.5,127001.0
42,107/9/17,262.5,262.5,254.0,261.5,182330.0
43,107/9/10,266.5,266.5,253.5,261.0,189065.0
44,107/9/3,259.0,268.0,255.5,264.0,179809.0
45,107/8/27,246.0,268.0,244.5,256.0,226408.0
46,107/8/20,239.5,246.0,238.0,243.5,70635.0
47,107/8/13,241.5,245.0,238.0,239.5,90980.0
48,107/8/6,245.0,248.0,241.5,245.0,101486.0
49,107/7/30,244.5,249.5,242.0,247.0,125705.0
50,107/7/23,239.0,245.0,238.5,244.5,157915.0
51,107/7/16,224.5,237.5,221.0,237.5,214601.0
52,107/7/9,219.5,224.5,218.0,224.5,131831.0
53,107/7/2,218.5,219.0,213.0,217.0,123018.0
54,107/6/25,220.0,220.5,210.0,216.5,195175.0
55,107/6/18,217.59,219.99,215.65,219.5,171871.0
56,107/6/11,218.55,223.86,216.14,222.9,161149.0
57,107/6/4,219.49,223.36,218.07,219.03,125483.0
58,107/5/28,221.42,221.9,212.74,216.12,212677.0
59,107/5/21,217.1,225.3,217.1,220.47,90377.0
60,107/5/14,226.25,226.25,215.65,215.65,112188.0
61,107/5/7,217.08,225.77,213.71,224.81,155378.0
62,107/4/30,216.62,220.0,212.28,215.17,125303.0
63,107/4/23,218.53,219.49,213.23,215.65,240333.0
64,107/4/16,234.46,235.9,219.97,220.94,263585.0
65,107/4/9,239.28,240.24,234.93,235.91,121456.0
66,107/4/2,239.75,240.23,233.5,235.42,53427.0
67,107/3/26,232.99,242.16,232.99,238.78,154106.0
68,107/3/19,243.59,246.48,235.4,236.36,151441.0
69,107/3/12,243.09,249.85,240.69,246.0,164029.0
70,107/3/5,233.92,242.61,232.0,241.64,132842.0
71,107/2/26,238.23,241.62,230.05,231.5,151366.0
72,107/2/19,235.83,236.31,230.51,236.31,137494.0
73,107/2/12,227.14,229.07,226.66,228.11,35558.0
74,107/2/5,242.09,245.46,220.39,224.25,324339.0
75,107/1/29,249.8,252.21,243.05,250.27,167032.0
76,107/1/22,248.36,256.56,244.5,245.95,202343.0
77,107/1/15,231.46,246.43,229.54,246.43,187176.0
78,107/1/8,233.37,233.85,224.22,228.56,114651.0
79,107/1/1,223.25,231.45,222.76,231.45,98693.0
