,date,open,high,low,close,volume,ratio
0,109/08/27,448.0,453.5,444.0,444.0,52848,1.0045
1,109/08/26,435.5,442.0,435.0,442.0,38957,1.0173
2,109/08/25,433.5,436.0,430.5,434.5,35836,1.0152
3,109/08/24,427.5,434.5,425.0,428.0,47649,1.0082
4,109/08/21,421.5,427.0,420.0,424.5,41480,1.0229
5,109/08/20,427.0,427.5,401.0,415.0,74781,0.9708
6,109/08/19,436.0,436.5,427.5,427.5,31212,0.9873
7,109/08/18,440.0,440.5,432.0,433.0,41381,0.9954
8,109/08/17,427.0,435.0,425.5,435.0,33914,1.0187
9,109/08/14,424.0,428.0,423.0,427.0,23308,0.9953
10,109/08/13,428.0,429.0,424.5,429.0,44171,1.0239
11,109/08/12,422.0,423.5,419.0,419.0,51753,0.9767
12,109/08/11,432.0,435.0,429.0,429.0,34011,0.9851
13,109/08/10,427.5,437.5,427.5,435.5,35879,1.0058
14,109/08/07,433.5,434.0,428.0,433.0,36385,0.9954
15,109/08/06,437.5,438.0,431.0,435.0,40803,1.014
16,109/08/05,430.5,433.5,426.0,429.0,47005,1.0082
17,109/08/04,421.5,425.5,418.5,425.5,40874,1.0228
18,109/08/03,420.5,424.0,415.0,416.0,75979,0.9777
19,109/07/31,426.0,432.0,425.5,425.5,49494,0.9804
20,109/07/30,436.5,441.0,428.5,434.0,68963,1.0284
21,109/07/29,428.0,431.5,419.5,422.0,85236,0.9701
22,109/07/28,464.0,466.5,428.5,435.0,165650,1.0247
23,109/07/27,420.5,424.5,416.5,424.5,98932,1.0997
24,109/07/24,390.0,395.0,382.0,386.0,86375,1.0118
25,109/07/23,382.0,383.0,379.0,381.5,45052,0.9935
26,109/07/22,381.0,386.0,379.0,384.0,43498,1.0026
27,109/07/21,372.5,387.0,371.5,383.0,63844,1.0464
28,109/07/20,370.0,370.0,362.5,366.0,42616,0.9973
29,109/07/17,361.0,369.0,360.0,367.0,65727,1.0266
30,109/07/16,359.0,361.0,353.5,357.5,67953,0.9848
31,109/07/15,366.0,370.0,361.0,363.0,73072,0.9986
32,109/07/14,355.0,364.0,354.5,363.5,61310,1.0254
33,109/07/13,351.0,354.5,350.5,354.5,47730,1.0172
34,109/07/10,352.5,353.0,345.5,348.5,60586,1.0101
35,109/07/09,346.0,347.0,343.0,345.0,35522,1.0117
36,109/07/08,337.5,342.5,337.5,341.0,30538,1.0074
37,109/07/07,343.5,346.0,338.0,338.5,58695,1.0015
38,109/07/06,332.5,338.0,332.0,338.0,56874,1.0258
39,109/07/03,327.0,330.5,326.5,329.5,53011,1.0233
40,109/07/02,319.0,322.0,318.0,322.0,34314,1.0142
41,109/07/01,315.0,318.0,314.0,317.5,29367,1.0144
42,109/06/30,313.5,314.0,311.0,313.0,48784,1.0032
43,109/06/29,314.0,315.0,310.0,312.0,56455,0.9827
44,109/06/24,319.0,320.0,316.0,317.5,54019,1.0079
45,109/06/23,316.0,316.5,312.5,315.0,41183,1.0096
46,109/06/22,314.5,316.5,312.0,312.0,37295,0.9921
47,109/06/19,314.0,314.5,312.0,314.5,47828,1.0
48,109/06/18,314.5,315.0,313.0,314.5,28922,1.0295
49,109/06/17,306.95,307.44,304.05,305.5,34340,1.0
50,109/06/16,307.44,307.44,304.53,305.5,36513,1.0178
51,109/06/15,306.46,307.92,299.19,300.16,50612,0.9794
52,109/06/12,303.56,307.93,303.08,306.47,45716,0.986
53,109/06/11,315.67,317.13,308.88,310.82,49879,0.9938
54,109/06/10,309.36,314.21,308.4,312.76,39788,1.011
55,109/06/09,306.93,309.36,304.51,309.36,36175,1.0031
56,109/06/08,306.46,309.37,305.49,308.4,50028,1.0209
57,109/06/05,299.18,302.57,298.69,302.09,42644,1.018
58,109/06/04,295.78,296.75,294.81,296.75,46316,1.0166
59,109/06/03,290.93,291.9,289.0,291.9,64892,1.0152
60,109/06/02,287.04,288.5,287.04,287.53,24680,1.0034
61,109/06/01,285.1,287.53,284.62,286.56,35694,1.012
62,109/05/29,283.16,283.65,281.22,283.16,79509,0.9932
63,109/05/28,289.46,289.46,284.13,285.1,28327,0.9916
64,109/05/27,288.0,288.97,286.55,287.52,23243,1.0034
65,109/05/26,286.06,288.49,284.61,286.55,33725,1.012
66,109/05/25,281.7,284.12,279.76,283.15,26688,1.0
67,109/05/22,285.57,286.06,282.18,283.15,39870,0.9815
68,109/05/21,287.03,288.97,286.06,288.49,30797,1.0119
69,109/05/20,284.13,285.1,282.19,285.1,32360,1.0086
70,109/05/19,285.09,285.09,282.67,282.67,51055,1.0052
71,109/05/18,282.18,284.6,281.21,281.21,84605,0.9732
72,109/05/15,288.47,289.44,285.56,288.95,42219,1.0171
73,109/05/14,284.09,286.03,283.61,284.09,34035,0.9865
74,109/05/13,284.1,287.98,283.61,287.98,25978,1.0068
75,109/05/12,288.46,289.43,286.03,286.03,51929,0.9801
76,109/05/11,290.87,292.32,289.41,291.84,28562,1.0118
77,109/05/08,290.86,290.86,286.98,288.44,32095,1.0
78,109/05/07,285.53,289.89,285.53,288.44,27486,1.0051
79,109/05/06,285.52,286.98,283.58,286.98,34164,1.0017
